state,USPS,datew,incidD,date
Alabama,AL,4/24/2021,67,4/24/2021
Alabama,AL,5/1/2021,61,5/1/2021
Alabama,AL,5/8/2021,65,5/8/2021
Alabama,AL,5/15/2021,59,5/15/2021
Alabama,AL,5/22/2021,74,5/22/2021
Alabama,AL,5/29/2021,34,5/29/2021
Alabama,AL,6/5/2021,50,6/5/2021
Alabama,AL,6/12/2021,71,6/12/2021
Alabama,AL,6/19/2021,36,6/19/2021
Alabama,AL,6/26/2021,29,6/26/2021
Alabama,AL,7/3/2021,30,7/3/2021
Alabama,AL,7/10/2021,43,7/10/2021
Alabama,AL,7/17/2021,41,7/17/2021
Alabama,AL,7/24/2021,39,7/24/2021
Alabama,AL,7/31/2021,55,7/31/2021
Alabama,AL,8/7/2021,89,8/7/2021
Alabama,AL,8/14/2021,141,8/14/2021
Alabama,AL,8/21/2021,235,8/21/2021
Alabama,AL,8/28/2021,219,8/28/2021
Alabama,AL,9/4/2021,195,9/4/2021
Alabama,AL,9/11/2021,259,9/11/2021
Alabama,AL,9/18/2021,536,9/18/2021
Alabama,AL,9/25/2021,813,9/25/2021
Alabama,AL,10/2/2021,447,10/2/2021
Alabama,AL,10/9/2021,387,10/9/2021
Alabama,AL,10/16/2021,322,10/16/2021
Alabama,AL,10/23/2021,225,10/23/2021
Alabama,AL,10/30/2021,161,10/30/2021
Alabama,AL,11/6/2021,261,11/6/2021
Alabama,AL,11/13/2021,146,11/13/2021
Alabama,AL,11/20/2021,98,11/20/2021
